"tt0114709",761501,8.3
"tt0113497",260244,6.9
"tt0113228",21913,6.6
"tt0114885",8483,5.8
"tt0113041",30470,6
"tt0113277",508869,8.2
"tt0114319",33208,6.3
"tt0112302",8752,5.6
"tt0114576",29156,5.7
"tt0113189",218504,7.2
"tt0112346",47308,6.8
"tt0112896",34798,5.8
"tt0112453",35321,7.1
"tt0113987",26521,7.1
"tt0112760",23622,5.6
"tt0112641",400999,8.2
"tt0114388",89411,7.7
"tt0113101",88262,6.7
"tt0112281",182765,6.3
"tt0113845",35641,5.6
"tt0113161",69588,6.9
"tt0112722",48440,6.6
"tt0112401",71035,6.3
"tt0114168",26672,6.6
"tt0113627",104490,7.5
"tt0114057",8395,6.9
"tt0114011",23765,6.8
"tt0114117",9398,7.7
"tt0112682",60668,7.6
"tt0115012",4715,7.2
"tt0112792",43498,6.5
"tt0114746",530390,8
"tt0114952",560,6.5
"tt0112431",106102,6.8
"tt0112637",4753,6.9
"tt0112818",81178,7.5
"tt0112286",221,6.4
"tt0113442",17435,5.8
"tt0112697",150139,6.8
"tt0112749",1573,6.9
"tt0114279",12662,7.5
"tt0112819",17543,6.9
"tt0114272",8203,6.6
"tt0113855",91496,5.8
"tt0114681",39024,6.8
"tt0113347",9753,6.2
"tt0114369",1236788,8.6
"tt0114148",145892,6.7
"tt0114916",6041,6.6
"tt0114814",877519,8.6
"tt0109950",276,4.9
"tt0113819",35192,7.1
"tt0110299",1916,7.6
"tt0112499",8116,5.5
"tt0113158",2625,6.5
"tt0113541",288,4.9
"tt0113321",10509,6.6
"tt0110877",29856,7.7
"tt0112714",1444,7.5
"tt0113419",23269,5.9
"tt0116260",11767,6.2
"tt0113862",32869,7.3
"tt0116126",43654,6.6
"tt0118002",4966,5.2
"tt0115683",23874,4.4
"tt0116839",8569,2.4
"tt0114753",3012,6.3
"tt0113149",4176,6.4
"tt0113118",87728,7.3
"tt0116367",252430,7.3
"tt0113010",11135,4.2
"tt0113537",8647,7
"tt0113828",3417,7.5
"tt0115644",7415,6.1
"tt0115676",4138,4.6
"tt0114367",22723,6.4
"tt0113973",617,7.3
"tt0112744",11785,6.3
"tt0116731",15508,5.6
"tt0112445",5791,7.8
"tt0114660",24320,6.8
"tt0112379",7557,7.5
"tt0114039",440,7.2
"tt0113612",340,5.9
"tt0112365",4201,7
"tt0118158",19645,6.6
"tt0116151",10848,5.3
"tt0115697",33139,6.2
"tt0113972",36001,6.3
"tt0113490",855,6.6
"tt0117002",13023,5.8
"tt0114825",19405,4.5
"tt0115639",29275,7.2
"tt0115759",84322,6
"tt0113403",2197,7.3
"tt0113247",128161,8.1
"tt0111173",2320,5.4
"tt0113283",614,6.6
"tt0115907",18196,6.2
"tt0115734",62731,7.1
"tt0117102",4622,3.8
"tt0118040",4435,6
"tt0116483",176300,7
"tt0112579",63459,7.6
"tt0110251",1063,7.3
"tt0117110",18532,7
"tt0112646",202,6.2
"tt0113276",193,4.8
"tt0112573",868364,8.4
"tt0075314",614330,8.3
"tt0113326",34785,6.8
"tt0115645",7536,6.1
"tt0113774",1248,7.3
"tt0112556",2435,7
"tt0112373",900,8.1
"tt0115033",3258,7.1
"tt0116606",3618,4.9
"tt0114536",861,4.9
"tt0117427",2885,5.4
"tt0106473",1395,7.7
"tt0103859",23034,5.4
"tt0109424",50406,8.1
"tt0114808",4384,7.4
"tt0116324",16434,6.8
"tt0110647",9411,3.2
"tt0111055",767,7.4
"tt0110217",224,7.1
"tt0114131",777,5.8
"tt0112364",733,6.4
"tt0113107",798,6.7
"tt0113451",10382,5.2
"tt0114015",397,7.1
"tt0114500",145,7.4
"tt0116130",18950,6.1
"tt0113125",226,7.1
"tt0113756",309,5.9
"tt0113952",708,6.2
"tt0114618",71,7.8
"tt0118055",12523,6.1
"tt0115685",70676,7
"tt0113200",327,5
"tt0112585",6878,6.6
"tt0112442",200491,6.8
"tt0112342",3518,5.8
"tt0112461",91718,7.3
"tt0112427",2366,6
"tt0109093",5060,7
"tt0112384",238883,7.6
"tt0114287",37699,6.9
"tt0112288",7683,6.4
"tt0112462",214950,5.4
"tt0061395",34640,7.8
"tt0112495",4471,6.6
"tt0112541",8405,6.7
"tt0109370",14784,5.9
"tt0112642",103177,6.1
"tt0112688",18525,6.9
"tt0112715",38402,5.1
"tt0112740",91406,7.3
"tt0109508",16374,8
"tt0112851",155785,7.2
"tt0112857",15335,6.7
"tt0112864",333074,7.6
"tt0112887",12745,6
"tt0113044",452,6.3
"tt0113071",62105,5.9
"tt0113114",14979,5
"tt0113243",60442,6.2
"tt0113464",5286,6.7
"tt0113481",61112,5.6
"tt0113492",100414,5.5
"tt0113500",6879,4.1
"tt0113540",66219,7
"tt0113677",14562,7.5
"tt0113690",12930,6.1
"tt0107447",2319,6.7
"tt0113729",5759,5.3
"tt0113749",107263,7.2
"tt0113820",22813,5.2
"tt0113851",3234,5.8
"tt0110604",4884,6.8
"tt0110620",2711,6
"tt0113957",54758,5.9
"tt0113986",32770,5.5
"tt0114095",3966,6.6
"tt0114194",26631,6.5
"tt0114241",404,5.2
"tt0114323",10836,7.2
"tt0114345",13305,5.2
"tt0114435",314,6.8
"tt0114436",56101,4.7
"tt0114478",30754,7.4
"tt0114496",11669,5.7
"tt0114508",67771,5.8
"tt0114534",663,6.6
"tt0114558",61168,7.2
"tt0058450",19370,7.9
"tt0114666",1019,5
"tt0114663",2407,6.2
"tt0114702",12021,6.6
"tt0114682",24849,6.5
"tt0114781",40269,5.4
"tt0114798",2858,6.7
"tt0114805",998,6.4
"tt0114887",28173,6.7
"tt0114898",162267,6.2
"tt0114928",4355,5.2
"tt0114938",5679,5.9
"tt0109340",2752,7.3
"tt0112602",5152,5.5
"tt0111579",12824,8
"tt0110882",12615,8
"tt0112471",229792,8.1
"tt0112508",118356,6.4
"tt0112438",4110,4.3
"tt0112571",10869,6.4
"tt0112757",8440,7.7
"tt0112643",5219,5.9
"tt0112679",7544,6.6
"tt0109445",198087,7.8
"tt0112883",45041,6.7
"tt0109635",41341,6.1
"tt0112899",241,4.7
"tt0109676",17603,5.6
"tt0112854",2046,4.5
"tt0109579",19911,7.3
"tt0109642",34040,7.4
"tt0109686",321997,7.3
"tt0111797",16105,7.8
"tt0109759",16284,7.1
"tt0109758",6047,4.1
"tt0109707",154908,7.9
"tt0113117",43035,6.6
"tt0113097",10361,6.4
"tt0113028",2301,6.4
"tt0113198",39657,6.8
"tt0113303",5721,5.3
"tt0113089",5899,6.7
"tt0109771",5723,6.9
"tt0113199",1753,3.9
"tt0113234",663,6.3
"tt0109906",3069,6.6
"tt0110057",21785,8.3
"tt0110005",55121,7.4
"tt0110066",6002,6
"tt0110116",21242,7.5
"tt0110006",22342,6.7
"tt0113360",4229,6
"tt0110099",21812,6.2
"tt0110148",268512,7.6
"tt0113463",2635,5.7
"tt0110189",2291,4.6
"tt0110216",59593,4.6
"tt0113501",21938,6.4
"tt0113538",5195,4.8
"tt0113552",15556,5.9
"tt0076759",1085575,8.6
"tt0110367",42247,7.3
"tt0113670",28671,7.7
"tt0110296",2787,7.5
"tt0109731",3576,7.2
"tt0103994",15414,7.2
"tt0110322",129120,7.5
"tt0110443",27085,6.2
"tt0110365",6425,6.8
"tt0107566",1729,6.5
"tt0110391",4099,5.9
"tt0113691",4973,6.4
"tt0110428",13865,7.2
"tt0109836",47029,6.4
"tt0113755",7634,5.1
"tt0110538",9109,5.4
"tt0110516",10409,5.5
"tt0110527",26969,6.5
"tt0113808",2921,5.4
"tt0113896",3384,7.3
"tt0113870",24248,7.3
"tt0110684",16555,7.4
"tt0110638",25194,6.5
"tt0113967",2499,6.7
"tt0117169",172,4.2
"tt0106402",436,3.4
"tt0113948",1450,4.7
"tt0110671",531,5.6
"tt0110632",195531,7.3
"tt0110737",17747,6.5
"tt0110729",28659,7.9
"tt0114151",4997,4.4
"tt0114069",98958,6.6
"tt0110413",887759,8.6
"tt0114113",1955,6.1
"tt0114210",936,5.4
"tt0110912",1579045,8.9
"tt0114084",2057,6.4
"tt0105652",3128,7.3
"tt0110889",9018,7.1
"tt0110932",59621,7.5
"tt0114129",1019,6.7
"tt0110963",15001,7.5
"tt0114214",76904,6.4
"tt0114296",1609,6.4
"tt0110907",13512,5.1
"tt0111495",76912,8.1
"tt0108394",75230,8
"tt0111507",53638,7.7
"tt0110769",448,7
"tt0114268",1737,5.5
"tt0110965",269,5.7
"tt0114571",2468,5.3
"tt0111333",20214,6.5
"tt0111112",6497,7.5
"tt0111255",56849,5.5
"tt0111282",162591,7.1
"tt0111070",80073,6.4
"tt0111161",2022817,9.3
"tt0111149",51584,7.3
"tt0108260",1525,6.6
"tt0106966",4838,7.5
"tt0114594",20678,7.1
"tt0111309",4737,7.3
"tt0113936",5063,5.6
"tt0110081",13737,8.3
"tt0114614",27631,5.3
"tt0114608",18945,6.7
"tt0111280",68485,6.6
"tt0114609",5667,6.3
"tt0111454",1413,6.5
"tt0114852",25550,5.6
"tt0114694",69353,7.1
"tt0111590",3869,7.5
"tt0114788",2853,6.2
"tt0114888",685,4.8
"tt0108550",192986,7.8
"tt0114857",25827,5.6
"tt0114924",81874,6.7
"tt0111667",11094,6.7
"tt0109655",996,7.1
"tt0110598",31548,7.2
"tt0112435",4821,5.8
"tt0109040",248001,6.9
"tt0109045",42094,7.5
"tt0106339",5250,6.7
"tt0104779",30378,7.2
"tt0109348",32634,7.5
"tt0109444",79239,6.9
"tt0109446",53150,6.7
"tt0109484",11303,6.5
"tt0109504",7764,6.9
"tt0109506",152031,7.6
"tt0109450",6522,6.5
"tt0109813",68344,4.8
"tt0109830",1542177,8.8
"tt0109831",122727,7.1
"tt0113305",16366,6.5
"tt0110091",1363,6.8
"tt0110093",10605,5.3
"tt0110167",31342,6.3
"tt0110213",14669,6
"tt0107472",1377,8
"tt0110357",799244,8.5
"tt0107426",14020,6.1
"tt0111686",44897,6.5
"tt0110475",305327,6.9
"tt0110478",92865,7
"tt0110588",3971,6.4
"tt0110622",86894,6.5
"tt0110771",11766,6.6
